,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
28,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,洛阳师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,广东,东软,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,西南,生态,环境,学院,环境,修复,健康,研究院,环境科学,工程,生物化学,分子生物学,生物工程,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,贵州大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,贵州大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,福建,工程学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,仲恺,农业,工程学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,桂林,电子科技大学,计算机,信息安全,学院,计算机技术,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,东南大学,仪器,科学,技术,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,浙江大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,广东,东软,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,中国矿业大学,计算机科学,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,中国矿业大学,计算机科学,技术,学院,计算机应用,技术,博士,doctor,计算机,视觉,识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,中国矿业大学,计算机科学,技术,学院,计算机应用,技术,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,中国矿业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,五邑,大学,智能,制造,学部,计算,智能,理论,数据挖掘,知识,领域,研究,硕士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,广东,财经大学,电子商务,市场,技术,重点,实验室,金融,电子商务,信息系统,博士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,中国,汕头,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,广东,东软,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,武汉,文化,传播,有限公司,信息科学,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,湘潭,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,华南师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,华南师范大学,软件,学院,人工智能,智能,仪器,软件,操作系统,开发,智能,信息处理,设计,软件开发,开发,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,西华,师范大学,数学,信息学院,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,university,computer,engineering,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,中山大学,数据,科学,计算机,学院,计算机科学,技术,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,中山大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,中山大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,中山大学,数据,科学,计算机,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,中山大学,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,河南科技大学,农业,电气化,自动化,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,中山大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,南京农业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,中山大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,中山大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,广东,财经大学,广东省,电子商务,重点,实验室,信息安全,网络工程,博士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,中山大学,计算机科学,技术,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,江西师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,电子科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,华南师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,广州,华商,职业学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,中山大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,计算机软件,软件,专业,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,安徽财经大学,computational,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,广州,科技,职业,技术,学院,基础,体育,教学,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,辅助,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,西安电子科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,广东,技术,师范大学,计算机科学,技术,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,广东,技术,师范大学,计算机科学,技术,职教,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,广东,教育,科技,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,广东外语外贸大学,信息科学,技术,学院,自然语言处理,文本,挖掘,机器学习,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,成都,信息工程,大学,软件,工程学院,软件工程,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,东北大学,signal,processing,engineering,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,广东,技术,师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,郑州,轻工业,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,深圳大学,第一,附属医院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,上海,精密,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,华南师范大学,计算机,学院,计算机科学,技术,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,广东工业大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,广东,药科,大学,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,佛山市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,广东,工商职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,辅助,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,智能科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,济南,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,武汉,华夏,理工学院,设计,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,广州,网络科技,发展,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,广东石油化工学院,化学,工程学院,化学工程,技术,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,华南师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,仲恺,农业,工程学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,厦门大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,信息,技术部,web,信息,服务,硕士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,暨南大学,信息,通信工程,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,华南师范大学,计算机,学院,软件工程,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,惠州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,广州,涉外经济,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,西北大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,吉林大学,珠海,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,南京航空航天大学,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,西南科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,北京理工大学,管理,经济学院,工商管理,学术,博士,工商管理,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,湖南科技大学,计算机科学,工程学院,计算机科学,技术,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,广东,财经大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,广东,财经大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,广东,财经大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,广东,财经大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,轩辕,研究院,实验室,深度,学习,知识,图谱,机器,视觉,博士,doctor,learning,machine,vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,广东,信息,科技股份,有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,广州,软件,学院,软件,工程系,信息工程,大数据,方向,学士,bachelor,大数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,中医药大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,汕头大学,商学院,优化,决策,决策,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,河南,中医药大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,广州,软件,学院,软件,工程系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,上海政法学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,广州,南方,学院,电气,计算机,工程学院,光学,工程,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,华南师范大学,软件,学院,软件工程,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,广东,建设,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,贵州,师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,暨南大学,智能科学,工程学院,博士,doctor,机器人,控制,理论,人工智能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,贵州,师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,贵州,师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,广东第二师范学院,计算机,教育,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,广东第二师范学院,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,广东第二师范学院,计算机科学,技术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,广东第二师范学院,computer,science,technology,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,华南师范大学,计算机,学院,计算机科学,技术,学士,bachelor,协同,计算,数据分析,社交,网络,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,广东第二师范学院,计算机,科学系,计算机科学,技术,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,广东第二师范学院,计算机科学,技术,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,广东第二师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,华南师范大学,有机化学,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,西南科技大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,金陵,科技,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,金陵,科技,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,金陵,科技,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,广东第二师范学院,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,金陵,科技,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,金陵,科技,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,重庆大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,金陵,科技,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,华南师范大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,华南师范大学,化学,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,岭南,师范学院,信息,工程学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,岭南,师范学院,学士,bachelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,湖南,信息,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,岭南,师范学院,电气工程,自动化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,south,china,normal,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,金陵,科技,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,岭南,师范学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
